dark eclipse moon
58. D:\Corpus\Solar_astronomy.txt score=0.019061977
59. D:\Corpus\Sun.txt score=0.019061977
60. D:\Corpus\Luxembourg.txt score=0.018537303
61. D:\Corpus\Moon_landing.txt score=0.018537303
62. D:\Corpus\Solar_System.txt score=0.017401123
63. D:\Corpus\Star.txt score=0.017401123
64. D:\Corpus\Floppy_disk.txt score=0.016508155
65. D:\Corpus\Chronology_of_the_ancient_Near_East.txt score=0.015564038
66. D:\Corpus\GSFC.txt score=0.015564038
67. D:\Corpus\Lunar_distance_(astronomy).txt score=0.015564038
68. D:\Corpus\Magnetic_field.txt score=0.015564038
69. D:\Corpus\Micrometeorite.txt score=0.015564038
70. D:\Corpus\Orbit_of_the_Moon.txt score=0.015564038
71. D:\Corpus\Symmetric.txt score=0.015564038
72. D:\Corpus\Tidal_acceleration.txt score=0.015564038
73. D:\Corpus\Tidal_locking.txt score=0.015564038
74. D:\Corpus\Austria.txt score=0.014829842
75. D:\Corpus\Ancient_Greece.txt score=0.013756797
76. D:\Corpus\Atlantic_Ocean.txt score=0.013756797
77. D:\Corpus\Exploratorium.txt score=0.013756797
78. D:\Corpus\Stellar_classification.txt score=0.013756797
79. D:\Corpus\Ionisation.txt score=0.0136185335
80. D:\Corpus\Ionized.txt score=0.0136185335
81. D:\Corpus\Sunlight.txt score=0.0136185335
82. D:\Corpus\Thermal_conductivity.txt score=0.0136185335
83. D:\Corpus\Mir.txt score=0.013478853
84. D:\Corpus\Concorde.txt score=0.012976112
85. D:\Corpus\Croatia.txt score=0.012976112
86. D:\Corpus\Bulgarian_Air_Force.txt score=0.011673029
87. D:\Corpus\Corona.txt score=0.011673029
88. D:\Corpus\Geology_of_the_Moon.txt score=0.011673029
89. D:\Corpus\Lunar_theory.txt score=0.011673029
90. D:\Corpus\Solar_corona.txt score=0.011673029
91. D:\Corpus\Amiens.txt score=0.011122381
92. D:\Corpus\Albert_Einstein.txt score=0.011005437
93. D:\Corpus\Earth.txt score=0.011005437
94. D:\Corpus\Iron.txt score=0.011005437
95. D:\Corpus\Russia.txt score=0.01010914
96. D:\Corpus\Aeroflot.txt score=0.009727524
97. D:\Corpus\Black_Sea.txt score=0.009727524
98. D:\Corpus\Cassini%E2%80%93Huygens.txt score=0.009727524
99. D:\Corpus\Constantinople.txt score=0.009727524
100. D:\Corpus\Film.txt score=0.009727524

================================================================================
total eclipse solar
====================
1. D:\Corpus\List_of_solar_eclipses_visible_from_Russia.txt score=0.58245933
2. D:\Corpus\Solar_Saros_126.txt score=0.55160505
3. D:\Corpus\List_of_solar_eclipses_visible_from_the_United_States.txt score=0.54187953
4. D:\Corpus\Solar_eclipse_of_April_16,_1874.txt score=0.50109994
5. D:\Corpus\Solar_eclipse_of_February_9,_1766.txt score=0.50109994
6. D:\Corpus\Solar_Saros_145.txt score=0.49351314
7. D:\Corpus\Solar_eclipse_of_August_29,_1886.txt score=0.48934257
8. D:\Corpus\Solar_Saros_146.txt score=0.4805082
9. D:\Corpus\Solar_eclipse_of_June_8,_1937.txt score=0.47284102
10. D:\Corpus\Solar_eclipse_of_January_16,_2094.txt score=0.47110102
11. D:\Corpus\Solar_eclipse_of_July_18,_1860.txt score=0.46576172
12. D:\Corpus\Solar_eclipse_of_June_3,_2114.txt score=0.46211606
13. D:\Corpus\Solar_eclipse_of_December_4,_2002.txt score=0.45723704
14. D:\Corpus\Solar_Saros_136.txt score=0.4553947
15. D:\Corpus\Solar_eclipse_of_June_24,_1778.txt score=0.4547353
16. D:\Corpus\Solar_eclipse_of_November_12,_1985.txt score=0.45432505
17. D:\Corpus\Solar_eclipse_of_September_22,_1968.txt score=0.45432505
18. D:\Corpus\List_of_solar_eclipses_visible_from_Ukraine.txt score=0.4501743
19. D:\Corpus\Solar_eclipse_of_June_25,_2150.txt score=0.44840467
20. D:\Corpus\Solar_eclipse_of_December_4,_2021.txt score=0.44216642
21. D:\Corpus\Solar_eclipse_of_April_8,_2005.txt score=0.44180274
22. D:\Corpus\Solar_eclipse_of_March_9,_1997.txt score=0.44095138
23. D:\Corpus\Solar_eclipse_of_February_26,_1998.txt score=0.4408803
24. D:\Corpus\Solar_eclipse_of_November_2,_1967.txt score=0.44059944
25. D:\Corpus\List_of_solar_eclipses_visible_from_the_Philippines.txt score=0.43937534
26. D:\Corpus\Solar_eclipse_of_March_7,_1598.txt score=0.43855736
27. D:\Corpus\Solar_eclipse_of_July_11,_1991.txt score=0.43854022
28. D:\Corpus\Solar_eclipse_of_May_22,_1724.txt score=0.43808544
29. D:\Corpus\Solar_eclipse_of_December_5,_2048.txt score=0.43620652
30. D:\Corpus\Solar_eclipse_of_March_30,_2052.txt score=0.43620652
31. D:\Corpus\Solar_eclipse_of_March_18,_1988.txt score=0.43477637
32. D:\Corpus\Solar_eclipse_of_September_23,_2071.txt score=0.4340609
33. D:\Corpus\Solar_eclipse_of_February_3,_1916.txt score=0.4337928
34. D:\Corpus\Solar_eclipse_of_August_29,_1867.txt score=0.43361902
35. D:\Corpus\Solar_eclipse_of_August_24,_2082.txt score=0.43221313
36. D:\Corpus\Solar_eclipse_of_June_11,_2086.txt score=0.43221313
37. D:\Corpus\Solar_eclipse_of_June_2,_2095.txt score=0.43221313
38. D:\Corpus\Solar_eclipse_of_May_11,_2059.txt score=0.43221313
39. D:\Corpus\Solar_eclipse_of_May_11,_2097.txt score=0.43221313
40. D:\Corpus\Solar_eclipse_of_May_22,_2077.txt score=0.43221313
41. D:\Corpus\Solar_eclipse_of_May_29,_1938.txt score=0.43221313
42. D:\Corpus\Solar_eclipse_of_May_9,_1910.txt score=0.43221313
43. D:\Corpus\Solar_eclipse_of_October_1,_1921.txt score=0.43221313
44. D:\Corpus\Solar_eclipse_of_September_12,_1950.txt score=0.43221313
45. D:\Corpus\Solar_eclipse_of_September_21,_1903.txt score=0.43221313
46. D:\Corpus\Solar_eclipse_of_February_25,_1952.txt score=0.4278692
47. D:\Corpus\Solar_eclipse_of_June_13,_2132.txt score=0.4278692
48. D:\Corpus\Solar_eclipse_of_December_17,_2066.txt score=0.42692882
49. D:\Corpus\Solar_eclipse_of_December_27,_2084.txt score=0.42692882
50. D:\Corpus\Solar_eclipse_of_October_1,_1940.txt score=0.42692882
51. D:\Corpus\Solar_eclipse_of_October_14,_2042.txt score=0.42603803
52. D:\Corpus\Solar_eclipse_of_January_25,_1944.txt score=0.4251962
53. D:\Corpus\Solar_eclipse_of_August_19,_1887.txt score=0.42452165
54. D:\Corpus\Solar_eclipse_of_June_29,_1927.txt score=0.4234953
55. D:\Corpus\Solar_eclipse_of_May_22,_2096.txt score=0.4234953
56. D:\Corpus\Solar_eclipse_of_April_28,_1911.txt score=0.4231344
57. D:\Corpus\Solar_eclipse_of_July_31,_1981.txt score=0.42223403
